year,team,win_rate,goal_diff_avg,participations,rank,finalist
1930,Belgium,0.0,0.0,0,2,0
1930,Argentina,0.0,0.0,0,3,1
1930,Bolivia,0.0,0.0,0,82,0
1930,France,0.0,0.0,0,4,0
1930,United States,0.0,0.0,0,16,0
1930,Uruguay,0.0,0.0,0,14,1
1930,Brazil,0.0,0.0,0,1,0
1930,Mexico,0.0,0.0,0,13,0
1930,Paraguay,0.0,0.0,0,47,0
1930,Romania,0.0,0.0,0,53,0
1930,Peru,0.0,0.0,0,23,0
1930,Chile,0.0,0.0,0,29,0
1930,Yugoslavia,0.0,0.0,0,50,0
1934,Austria,0.0,0.0,0,34,0
1934,Sweden,0.0,0.0,0,25,0
1934,Belgium,0.0,-2.0,1,2,0
1934,Argentina,0.8,1.8,1,3,0
1934,Czechoslovakia,0.0,0.0,0,50,1
1934,Spain,0.0,0.0,0,7,0
1934,Switzerland,0.0,0.0,0,15,0
1934,Italy,0.0,0.0,0,6,1
1934,Hungary,0.0,0.0,0,36,0
1934,Germany,0.0,0.0,0,11,0
1934,United States,0.667,0.33,1,16,0
1934,France,0.333,0.33,1,4,0
1934,Egypt,0.0,0.0,0,39,0
1934,Brazil,0.5,1.5,1,1,0
1934,Romania,0.5,-1.0,1,53,0
1934,Netherlands,0.0,0.0,0,8,0
1938,Norway,0.0,0.0,0,42,0
1938,Sweden,0.5,0.0,1,25,0
1938,Dutch East Indies,0.0,0.0,0,50,0
1938,Belgium,0.0,-2.33,2,2,0
1938,Czechoslovakia,0.75,0.75,1,50,0
1938,Cuba,0.0,0.0,0,167,0
1938,Italy,0.8,1.8,1,6,1
1938,France,0.25,0.0,2,4,0
1938,Switzerland,0.5,0.0,1,15,0
1938,Hungary,0.5,0.5,1,36,1
1938,Germany,0.75,0.75,1,11,0
1938,Brazil,0.333,0.33,2,1,0
1938,Romania,0.333,-1.0,2,53,0
1938,Poland,0.0,0.0,0,26,0
1938,Netherlands,0.0,-1.0,1,8,0
1950,Sweden,0.4,0.4,2,25,0
1950,Bolivia,0.0,-4.0,1,82,0
1950,Spain,0.333,0.33,1,7,0
1950,Switzerland,0.4,0.0,2,15,0
1950,Italy,0.889,1.67,2,6,0
1950,United States,0.5,-1.25,2,16,0
1950,Uruguay,1.0,3.0,1,14,1
1950,England,0.0,0.0,0,5,0
1950,Brazil,0.5,0.5,3,1,1
1950,Mexico,0.0,-3.0,1,13,0
1950,Paraguay,0.5,-1.0,1,47,0
1950,Chile,0.667,0.67,1,29,0
1950,Yugoslavia,0.667,0.0,1,50,0
1954,Austria,0.5,0.0,1,34,0
1954,South Korea,0.0,0.0,0,28,0
1954,Belgium,0.0,-2.25,3,2,0
1954,Türkiye,0.0,0.0,0,45,0
1954,Czechoslovakia,0.571,0.71,2,50,0
1954,Italy,0.818,1.45,3,6,0
1954,France,0.333,0.0,3,4,0
1954,Switzerland,0.375,-0.25,3,15,0
1954,Hungary,0.667,1.83,2,36,1
1954,Germany,0.5,0.17,2,11,1
1954,Uruguay,0.875,2.75,2,14,0
1954,England,0.333,0.0,1,5,0
1954,Brazil,0.571,1.43,4,1,0
1954,Scotland,0.0,0.0,0,40,0
1954,Mexico,0.0,-2.83,2,13,0
1954,Yugoslavia,0.667,0.67,2,50,0
1958,Sweden,0.4,-0.2,3,25,1
1958,Austria,0.667,0.56,2,34,0
1958,Wales,0.0,0.0,0,19,0
1958,Argentina,0.667,1.33,2,3,0
1958,Northern Ireland,0.0,0.0,0,59,0
1958,Czechoslovakia,0.444,-0.22,3,50,0
1958,Hungary,0.727,2.55,3,36,0
1958,France,0.375,0.0,4,4,0
1958,Germany,0.667,1.0,3,11,0
1958,England,0.333,0.0,2,5,0
1958,Brazil,0.529,1.35,5,1,1
1958,Mexico,0.0,-2.88,3,13,0
1958,Paraguay,0.25,-1.0,2,47,0
1958,Scotland,0.0,-4.0,1,40,0
1958,Soviet Union,0.0,0.0,0,50,0
1958,Yugoslavia,0.556,0.33,3,50,0
1962,Argentina,0.556,0.33,3,3,0
1962,Czechoslovakia,0.385,0.08,4,50,1
1962,Spain,0.444,-0.11,2,7,0
1962,Italy,0.714,1.07,4,6,0
1962,Hungary,0.6,2.0,4,36,0
1962,Switzerland,0.417,-0.17,4,15,0
1962,Germany,0.556,0.56,4,11,0
1962,Bulgaria,0.0,0.0,0,72,0
1962,England,0.2,-0.1,3,5,0
1962,Uruguay,0.769,2.23,3,14,0
1962,Brazil,0.609,1.52,6,1,1
1962,Mexico,0.0,-2.73,4,13,0
1962,Soviet Union,0.4,-0.2,1,50,0
1962,Chile,0.5,0.17,2,29,0
1962,Yugoslavia,0.462,0.23,4,50,0
1962,Colombia,0.0,0.0,0,17,0
